,Course.Title,Price,Image.URL
1,Big Data Essential Training,"$2,590 ",http://usjus.org/wp-content/uploads/2017/06/pexels-photo-199503-e1496421806736.jpeg
2,Deep Learning Essential Training,"$2,590 ",http://usjus.org/wp-content/uploads/2017/05/DeepLearning-1.jpg
3,Advanced Java Programming,$880 ,http://usjus.org/wp-content/uploads/2017/03/java-1.jpg
4,Practical Deep Learning with TensorFlow,"$8,900 ",http://usjus.org/wp-content/uploads/2017/01/anatomy-1751201_640-1.png
5,Blockchain Core Technology Training,"$7,900 ",http://usjus.org/wp-content/uploads/2016/10/course-creators-masterclass-300x300.png
6,Blockchain Financial Executive Seminar,$800 ,http://usjus.org/wp-content/uploads/2016/10/lead-generation-masterclass-300x300.png
7,Software Engineer (Big Data) Training,"$12,000 ",http://usjus.org/wp-content/uploads/2016/11/big-data-1667212_640-1.png
8,Big Data Seminar,$800 ,http://usjus.org/wp-content/uploads/2016/12/pexels-photo-159888-1024x768.png
9,Data Science Training,"$12,000 ",http://usjus.org/wp-content/uploads/2016/12/pexels-photo-90807-1024x684.png
10,Software Engineer Essential Training,"$5,900 ",http://usjus.org/wp-content/uploads/2016/12/hexagon-1747427_640.png
11,Software Engineer Advanced Training,"$5,900 ",http://usjus.org/wp-content/uploads/2016/12/human-1157116_1920-1024x662.png
